datetime,aqi,co,no,no2,o3,pm2_5,pm10,so2,nh3
2026-06-07 22:11:51.306249,4,513.02,0,10.51,85.76,56.9,84.97,5.58,56.19
2026-06-07 22:14:43.746689,4,513.02,0,10.51,85.76,56.9,84.97,5.58,56.19
2026-06-07 22:14:55.157603,4,513.02,0,10.51,85.76,56.9,84.97,5.58,56.19
2026-06-07 22:21:42.051955,4,513.02,0,10.51,85.76,56.9,84.97,5.58,56.19
2026-06-07 22:38:49.475528,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:38:52.218325,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:38:54.800039,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:38:57.373547,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:38:59.131978,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:00.633039,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:02.087296,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:03.657915,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:05.219015,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:06.691706,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:08.258974,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:09.800036,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:11.438091,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:13.079934,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:14.648924,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:16.111864,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:17.633440,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:19.105483,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:20.658529,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:23.590801,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:25.043342,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:26.531646,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:27.970650,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:29.482917,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:31.072445,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:32.803191,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:35.304804,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:39:37.780429,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
